gameweek,weekday,match_date,start_time,home_team,home_xg,home_score,away_team,away_xg,away_score,attendance,venue,referee
6,Fri,2023-09-15,20:00:00,Southampton,1.6,1,Leicester City,4.1,4,28877,St. Mary's Stadium,Robert Madley
6,Sat,2023-09-16,15:00:00,Huddersfield,2.1,2,Rotherham Utd,0.4,0,19050,The John Smith's Stadium,Jeremy Simpson
6,Sat,2023-09-16,15:00:00,Blackburn,2.9,2,Middlesbrough,2.5,1,16348,Ewood Park,James Bell
6,Sat,2023-09-16,15:00:00,Preston,1.7,2,Plymouth Argyle,1.8,1,17542,Deepdale Stadium,Gavin Ward
6,Sat,2023-09-16,15:00:00,Bristol City,0.8,0,West Brom,0.7,0,21836,Ashton Gate Stadium,Anthony Backhouse
6,Sat,2023-09-16,15:00:00,Sheffield Weds,0.5,0,Ipswich Town,1.8,1,25938,Hillsborough Stadium,James Linington
6,Sat,2023-09-16,15:00:00,Watford,0.4,2,Birmingham City,0.8,0,18932,Vicarage Road Stadium,Keith Stroud
6,Sat,2023-09-16,15:00:00,Norwich City,1.2,1,Stoke City,1.2,0,25816,Carrow Road,Oliver Langford
6,Sat,2023-09-16,15:00:00,QPR,0.3,1,Sunderland,2.8,3,16383,MATRADE Loftus Road Stadium,Dean Whitestone
6,Sat,2023-09-16,19:45:00,Cardiff City,1.5,2,Swansea City,0.6,0,28648,Cardiff City Stadium,Samuel Barrott
6,Sun,2023-09-17,12:00:00,Millwall,0.4,0,Leeds United,2.3,3,17909,The Den,Chris Kavanagh
7,Tue,2023-09-19,19:45:00,Bristol City,1.6,4,Plymouth Argyle,0.6,1,23017,Ashton Gate Stadium,Matt Donohue
7,Tue,2023-09-19,19:45:00,Southampton,0.8,0,Ipswich Town,0.7,1,27265,St. Mary's Stadium,Joshua Smith
7,Tue,2023-09-19,19:45:00,Cardiff City,0.6,3,Coventry City,0.9,2,18297,Cardiff City Stadium,Samuel Allison
7,Tue,2023-09-19,19:45:00,QPR,1.0,1,Swansea City,0.6,1,13367,MATRADE Loftus Road Stadium,Andrew Kitchen
